30597755,Is chronic kidney disease keeping the heart up all night?,Is chronic kidney disease keeping the heart up all night?
30595952,Role of the Airway Microbiome in Respiratory Infections and Asthma in Children.,"The respiratory tract can be colonized with bacterial, fungal, and viral microorganisms, and the whole of the microbiota, their genes, and the surrounding environment is collectively termed the microbiome. Increasing evidence indicates that the respiratory microbiome has an important role in respiratory health and disease and is both impacted by and potentially contributes to the severity of symptomatic respiratory viral infections and asthma in children. A deeper understanding of the complex interactions between bacteria, viruses, and the host will provide further comprehension into the drivers and mechanisms of respiratory health and disease and will impart opportunities for clinical therapies."
30595950,Potassium-competitive acid blockers - are they the next generation of proton pump inhibitors?,"The modern lifestyle caters to an increase in the incidence of peptic ulcer disease, gastroesophageal reflux disease and several other acid-related conditions of the gut. The drugs to prevent these conditions work either through H2 receptor blockade or inhibition of the H<sup>+</sup>, K<sup>+</sup> ATPase enzyme. Although proton pump inhibitors have been proven to be efficacious, they have a slow onset of action with limited resolution of symptoms in most patients. Potassium-competitive acid blockers (P-CABs) are novel drugs that bind reversibly to K<sup>+</sup> ions and block the H<sup>+</sup>, K<sup>+</sup> ATPase enzyme, thus preventing acid production. P-CABs have a fast onset of action and have dose-dependent effects on acid production. Animal studies exist that differentiate the better results of P-CABs from proton pump inhibitors; further human trials will give a comprehensive picture of the results and will help to elucidate the therapeutic benefits of this new group of drugs."
30595936,Urethral Polyembolokoilamania: An Unusual Manifestation of Behavioral and Psychological Symptoms of Dementia (BPSD).,"Behavioral and psychological symptoms of dementia (BPSD) have varied presentations and frequently occur throughout the trajectory of dementia. Hypersexuality and general disinhibition of societal and cultural norms are commonly documented in all types of dementia. However, sparse literature exists on polyembolokoilamania (insertion of foreign objects in bodily orifices) without a sexual component as a dementia-related symptom. We review an unusual case of a 94-year-old man who presented with urethral polyembolokoilamania without hypersexuality or other behavioral disinhibition. We highlight clinical considerations of managing urethral polyembolokoilamania in an elderly patient without a previous neurocognitive disorder diagnosis. A multidisciplinary team approach with input from Internal Medicine, Urology, Psychiatry, and Neurology lead to a comprehensive assessment of a patient that could have been managed solely as a surgical case. This spearheaded a formal diagnosis of neurocognitive disorder-guiding successful management, follow-up, caregiver education, and reduction of further harm."
30595922,"Hip Fracture Nonunions: Diagnosis, Treatment, and Special Considerations in Elderly Patients.","In the United States, more than 300,000 hip fractures occur annually in the elderly population with associated significant morbidity and mortality. Both intracapsular and extracapsular hip fractures have inherent treatment challenges and therefore are at risk of nonunion complications. A systematic assessment including radiographic, metabolic, and infectious evaluations should be completed for all patients suspected of nonunion. Failed internal fixation of intracapsular hip fractures is typically treated with arthroplasty, while extracapsular proximal femur nonunions may be amenable to revision internal fixation or arthroplasty. While not a classic hip fracture, bisphosphate associated subtrochanteric femur fractures affect a similar patient population and are historically difficult to treat. Atypical subtrochanteric femur fractures are at increased risk of nonunion given the altered biologic environment secondary to bisphosphonate use; therefore adjuvant therapies may be beneficial in setting of revision fixation. Having a thorough understanding of nonunion risks, recognition, evaluation, and treatment is necessary for appropriate patient care."
30595914,"A Fortified Method to Screen and Detect Left Ventricular Hypertrophy in Asymptomatic Hypertensive Adults: A Korean Retrospective, Cross-Sectional Study.","Left ventricular (LV) mass is determined by the wall thickness and diameter. LV hypertrophy (LVH), the increase in LV mass, is usually screened with electrocardiography but is often insensitive. We tried to fortify the rule to detect LVH using cardiothoracic ratio (CTR) in chest X-ray and well-known risk factors besides electrocardiography."
30595913,Peak Occurrence of Retinal Detachment following Cataract Surgery: A Systematic Review and Pooled Analysis with Internal Validation.,"Timing of retinal detachment (RD) following cataract surgery is of importance for both diagnostic and prognostic factors. However, results on RD onset-time following cataract surgery have been conflicting."
30595818,The Relationship between Primary Hyperparathyroidism and Thrombotic Events: Report of Three Cases and a Review of Potential Mechanisms.,"We have described three uncommon cases of patients who presented with clinical thrombotic events (stroke, pulmonary embolism and deep venous thrombosis) during the course of a hypercalcemia-induced hypercoagulable state. After thorough investigation, the diagnosis of primary hyperparathyroidism - due to a parathyroid adenoma - was established in all cases. The association between hypercalcemia and venous or arterial thrombosis has been previously described; however, relevant data are still insufficient. The existing evidence in the field was reviewed and the interesting underlying pathophysiologic mechanisms were also discussed. Further studies are required to shed more light on the unusual, still intriguing relationship between calcium and thrombosis."
30595804,Multicenter phase II trial of modified FOLFIRINOX in gemcitabine-refractory pancreatic cancer.,To evaluate the efficacy and safety of modified FOLFIRINOX as a second-line treatment for gemcitabine (GEM)-refractory unresectable pancreatic cancer (PC).
30595776,Clinical Significance of Serum Hemeoxygenase-1 as a New Biomarker for the Patients with Interstitial Pneumonia.,Serum hemeoxygenase-1 (HO-1) has been proposed to be a biomarker of lung disease activity and prognosis. The present study aimed at evaluating whether HO-1 could be a useful marker for evaluating disease activity and predicting prognosis in patients with interstitial pneumonia (IP).
30595767,Endovascular therapy for subclavian artery restenosis due to stent strut protrusion with high-resolution angioscopy and three-dimensional optical frequency domain imaging.,"A 47-year-old female patient was admitted with a complaint of severe chest pain on effort. She had a history of effort angina treated using coronary artery bypass with left internal thoracic arterial bypass to the left ascending coronary artery. She also had left subclavian and vertebral arterial stenoses, which were treated with balloon-expandable stents. Exercise stress myocardial perfusion imaging revealed anterior to apex left ventricular myocardial ischemia. Cardiac ischemia due to left subclavian stenosis was diagnosed. We treated the left subclavian arterial stenosis with endovascular therapy. We observed that the vertebral Palmaz stent protruded from the ostium and the jailed subclavian artery on high-resolution angioscopy (Zemporshe with a 0.48-megapixel equivalent resolution; Taisho Biomed Instruments, Osaka, Japan) and optical frequency domain imaging (OFDI). A guide wire was successfully crossed through the Palmaz stent strut, which was confirmed using three-dimensional OFDI. The stent strut was dilated using balloon angioplasty. New imaging technologies are promising tools for improving the efficacy and safety of craniocervical intervention. <<b>Learning objective:</b> New imaging technologies including high-resolution angioscopy and 3D-optical frequency domain imaging have become available for endovascular therapy of peripheral artery disease. They could be used to observe stent strut deformation with high imaging quality and demonstrated successful guidewire passage through the stent strut. High-resolution angioscopic system yields images with higher quality and larger angular field than any other previous angioscopy systems.>."
30595757,My burning issues in neuroendocrine tumours (NET).,"Several compounds have recently been approved for the systemic treatment of advanced well-differentiated neuroendocrine tumours (NET) of gastroenteropancreatic (GEP) or lung origin. Based on the PROMID and CLARINET trials, somatostatin analogues (SSA) are the preferred first-line approach for all GEP-NET and offer-in addition to antiproliferative effects-durable symptomatic relief for hormonally active tumours. The mTOR inhibitor everolimus has been approved for progressive GEP- and lung-NET and is a widely used drug in this setting. Furthermore, recent results have underlined the high efficacy of somatostatin-receptor targeting radionuclide therapy (PRRT) in somatostatin-receptor positive midgut tumours and PRRT is now considered standard treatment for midgut-NET progressing on SSA. The optimal application of PRRT in somatostatin receptor positive NET with non-midgut site is currently an issue of discussion and should be decided on an individually basis in multidisciplinary boards. Following new insights in the genetic landscape of NET, ""hot topics"" in recent months include optimal treatment of the recently defined NET G3 and preliminary data on immunotherapy."
30595752,ASCO 2018 NSCLC highlights-combination therapy is key.,"Non-small cell lung cancer (NSCLC) treatment was booming at this year's ASCO 2018 meeting as several well-performed phase III trials with practice-changing potential were presented. Thereby immune checkpoint blockade (ICB) consolidated its major role in the treatment of NSCLC patients without genetic alterations and extended its use by showing impressive data on ICB combination therapies (mainly combined with chemotherapy). Furthermore the role of predictive biomarkers for ICB therapy (Programmed death-ligand 1 [PD-L1] expression, tumor mutational burden [TMB] testing and others) have been further developed and blood-based tests were presented with promising data revealing the potential of this minimally invasive method for treatment monitoring and guidance in the future. Nevertheless the best biomarker is still elusive and future research is ongoing and might be a multimodal approach combining different modalities. No major studies concerning new genetic alterations or innovative targets were presented and the focus in genetic driven NSCLC was the evaluation of combinational approaches (e.g. in epidermal growth factor receptor [EGFR] mutation positve patients, EGFR tyrosine kinase inhibitor [TKI] plus anti-angiogenic agent or chemotherapy backbone). The presented results showed some benefit for the combinational approach; however toxicity might be an issue and further validation is necessary. Summarizing, ASCO 2018 showed that combinational approaches will be the future standard treatment in NSCLC and that biomarker identification is more heterogeneous and complex than anticipated, but presented next generation techniques may pave the way to a more personalized cancer therapy."
30595705,Intradepartment scientific collaboration in Journal of Research in Medical Sciences: A co-authorship study.,This study aimed to use social network analysis (SNA) indicators and clique analysis to investigate collaboration between different departments and research centers in Journal of Research in Medical Sciences (JRMS) in 2012-2016.
30595703,The effect of orlistat and weight loss diet on plasma ghrelin and obestatin.,The objective of this study was to evaluate the effect of weight loss with hypocaloric diet and orlistat treatment in addition to hypocaloric diet on gut-derived hormones ghrelin and obestatin.
30595687,"An Atypical Case of Middle East Respiratory Syndrome in a Returning Traveler to Korea from Kuwait, 2018.","We report a case of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in a 61-year-old businessman returning from Kuwait. The patient arrived there on August 16, 2018, developed watery diarrhea on August 28 (day 0), and came back to Korea on September 7 (day 10) as his condition worsened. Upon arrival, he complained of diarrhea and weakness, but denied any respiratory symptoms, and he directly went to visit an emergency room. Chest radiography revealed interstitial infiltrates in the lungs, and he was immediately transferred to an isolation unit. Quantitative real-time PCR analysis of sputum samples taken on day 11 returned positive for MERS-CoV. No secondary MERS-CoV infection was identified among people who had close contact with him. This case underscores the importance of a high index of suspicion of MERS-CoV infection in any febrile patients who present after a trip to the Middle East."
30595686,Association of Sleep Duration and Obesity According to Gender and Age in Korean Adults: Results from the Korea National Health and Nutrition Examination Survey 2007-2015.,This study aimed to investigate associations between self-reported sleep duration and general and abdominal obesity in Korean adults stratified according to gender and age.
30595683,Clinical Validation of a Protein Biomarker Panel for Non-Small Cell Lung Cancer.,"We validated the diagnostic performance of a previously developed blood-based 7-protein biomarker panel, AptoDetect™-Lung (Aptamer Sciences Inc., Pohang, Korea) using modified aptamer-based proteomic technology for lung cancer detection. Non-small cell lung cancer (NSCLC), 200 patients and benign nodule controls, 200 participants were enrolled. In a high-risk population corresponding to ≥ 55 years of age and ≥ 30 pack-years, the diagnostic performance was improved, showing 73.3% sensitivity and 90.5% specificity with an area under the curve of 0.88. AptoDetect™-Lung (Aptamer Sciences Inc.) offers the best validated performance to discriminate NSCLC from benign nodule controls in a high-risk population and could play a complementary role in lung cancer screening."
30595682,End-stage Renal Disease and Risk of Active Tuberculosis: a Nationwide Population-Based Cohort Study.,"The converging epidemics of tuberculosis (TB) and end-stage renal disease (ESRD) have generated a significant public health burden, however, previous studies have been limited to a small number of patients. This nationwide cohort study aimed to assess the rate of developing active TB among patients receiving dialysis for ESRD."
30595681,The Correlation of Serum Osteoprotegerin with Non-Traditional Cardiovascular Risk Factors and Arterial Stiffness in Patients with Pre-Dialysis Chronic Kidney Disease: Results from the KNOW-CKD Study.,"Osteoprotegerin (OPG) plays protective roles against the development of vascular calcification (VC) which greatly contributes to the increased cardiovascular events in patients with chronic kidney disease (CKD). The present study aimed to find the non-traditional, kidney-related cardiovascular risk factors correlated to serum OPG and the effect of serum OPG on the arterial stiffness measured by brachial ankle pulse wave velocity (baPWV) in patients with the pre-dialysis CKD."
30595680,Assessment of Hepatic Cytochrome P450 3A Activity Using Metabolic Markers in Patients with Renal Impairment.,"The renal function of individuals is one of the reasons for the variations in therapeutic response to various drugs. Patients with renal impairment are often exposed to drug toxicity, even with drugs that are usually eliminated by hepatic metabolism. Previous study has reported an increased plasma concentration of indoxyl sulfate and decreased plasma concentration of 4β-hydroxy (OH)-cholesterol in stable kidney transplant recipients, implicating indoxyl sulfate as a cytochrome P450 (CYP) inhibiting factor. In this study, we aimed to evaluate the impact of renal impairment severity-dependent accumulation of indoxyl sulfate on hepatic CYP3A activity using metabolic markers."
30595629,Assessment of the outcome of Ayurvedic treatments for vertebral fracture with motor dysfunction.,"Assessment of outcome following Ayurveda treatment protocol was done in a complicated case of spinal fracture with motor dysfunction and having a past history of Pott's disease. A 52-year-old man was suffering from motor dysfunction after a spinal fracture at D5/D6 level. The patient sought <i>Ayurveda</i> treatments because he did not gained any significant improvement according to mainstream medical treatments what he underwent for several years. According to <i>Ayurveda</i>, the patient was treated following immobilization, external and internal application of herbal preparations followed by physiotherapy. The outcome of the treatments were monitored by motor function assessment, quality of life assessment and computed tomography scan. Initial signs of improvement were observed just after 1 month of commencing <i>Ayurveda</i> treatments. Continuously following the treatments for 24-month duration, the patient was reverted back to his normal life. This complicated case of spinal fracture was successfully cured using Ayurveda treatment. Therefore, the observations made here would be useful for organizing a future clinical trial."
30595567,Downregulation of Profibrotic Gene Expression by Angiotensin Receptor Blockers.,"Chronic allograft nephropathy is characterized by interstitial fibrosis and tubular atrophy. The main players in the process of fibrosis are transforming growth factor-β (TGF-β) and miR-21 expression with a bidirectional interplay. This study aimed to evaluate the effects of angiotensin receptor type 1 antagonist, losartan, on peripheral blood and tissue expression of TGF-β and miR-21 and histologic findings in allograft biopsy in kidney transplant recipients."
30595565,Treatment Effect of Ergocalciferol on Bone Metabolism Indexes and Parathyroid Hormone in Hemodialysis Patients.,Vitamin D deficiency is a common problem in end-stage renal disease patients under hemodialysis. Both active and nutritional vitamin D supplementation have been recommended for its treatment. In this study we aimed to evaluate the effects of treatment with ergocalciferol on bone metabolism indexes in hemodialysis patients.
30595551,Natural helix 9 mutants of PPARγ differently affect its transcriptional activity.,"The nuclear receptor PPARγ is the master regulator of adipocyte differentiation, distribution, and function. In addition, PPARγ induces terminal differentiation of several epithelial cell lineages, including colon epithelia. Loss-of-function mutations in PPARG result in familial partial lipodystrophy subtype 3 (FPDL3), a rare condition characterized by aberrant adipose tissue distribution and severe metabolic complications, including diabetes. Mutations in PPARG have also been reported in sporadic colorectal cancers, but the significance of these mutations is unclear. Studying these natural PPARG mutations provides valuable insights into structure-function relationships in the PPARγ protein. We functionally characterized a novel FPLD3-associated PPARγ L451P mutation in helix 9 of the ligand binding domain (LBD). Interestingly, substitution of the adjacent amino acid K450 was previously reported in a human colon carcinoma cell line."
30595522,Stereotactic Radiosurgery for Multiple Brain Metastases From Renal-Cell Carcinoma.,"Brain metastases (BM) pose a significant problem in patients with metastatic renal-cell carcinoma (mRCC). Local and systemic therapies including stereotactic radiosurgery (SRS) are rapidly evolving, necessitating reassessments of outcomes for modern patient management."
30595509,"Lipodystrophies, dyslipidaemias and atherosclerotic cardiovascular disease.","Lipodystrophies are rare, heterogeneous, genetic or acquired, disorders characterised by varying degrees of body fat loss and associated metabolic complications, including insulin resistance, dyslipidaemias, hepatic steatosis and predisposition to atherosclerotic cardiovascular disease (ASCVD). The four main types of lipodystrophy, excluding antiretroviral therapy-induced lipodystrophy in HIV-infected patients, are congenital generalised lipodystrophy (CGL), familial partial lipodystrophy (FPLD), acquired generalised lipodystrophy (AGL) and acquired partial lipodystrophy (APL). This paper reviews the literature related to the prevalence of dyslipidaemias and ASCVD in patients with lipodystrophies. Patients with CGL, AGL and FPLD have increased prevalence of dyslipidaemia but those with APL do not. Patients with CGL as well as AGL present in childhood, and have severe dyslipidaemias (mainly hypertriglyceridaemia) and early onset diabetes mellitus as a consequence of extreme fat loss. However, only a few patients with CGL and AGL have been reported to develop coronary heart disease. In contrast, data from some small cohorts of FPLD patients reveal increased prevalence of ASCVD especially among women. Patients with APL have a relatively low prevalence of hypertriglyceridaemia and diabetes mellitus. Overall, patients with lipodystrophies appear to be at high risk of ASCVD due to increased prevalence of dyslipidaemia and diabetes and efforts should be made to manage these metabolic complications aggressively to prevent ASCVD."
30595497,Targeting Cancer Stemness in the Clinic: From Hype to Hope.,"Tumors are composed of non-homogeneous cell populations exhibiting varying degrees of genetic and functional heterogeneity. Cancer stem cells (CSCs) are capable of sustaining tumors by manipulating genetic and non-genetic factors to metastasize, resist treatment, and maintain the tumor microenvironment. Understanding the key traits and mechanisms of CSC survival provides opportunities to improve patient outcomes via improved prognostic models and therapeutics. Here, we review the clinical significance of CSCs and results of potential CSC-targeting therapies in various cancers. We discuss barriers to translating cues from pre-clinical models into clinical applications and propose new strategies for rational design of future anti-CSC trials."
30595479,Food Intake Recruits Orosensory and Post-ingestive Dopaminergic Circuits to Affect Eating Desire in Humans.,"Pleasant taste and nutritional value guide food selection behavior. Here, orosensory features of food may be secondary to its nutritional value in underlying reinforcement, but it is unclear how the brain encodes the reward value of food. Orosensory and peripheral physiological signals may act together on dopaminergic circuits to drive food intake. We combined fMRI and a novel [11C]raclopride PET method to assess systems-level activation and dopamine release in response to palatable food intake in humans. We identified immediate orosensory and delayed post-ingestive dopamine release. Both responses recruit segregated brain regions: specialized integrative pathways and higher cognitive centers. Furthermore, we identified brain areas where dopamine release reflected the subjective desire to eat. Immediate dopamine release in these wanting-related regions was inversely correlated with, and presumably inhibited, post-ingestive release in the dorsal striatum. Our results highlight the role of brain and periphery in interacting to reinforce food intake in humans."
30595426,The prevalence of dysnatremia in the elderly patients without CKD.,Dysnatremia is one of the most commonly encountered electrolyte disorders in the emergency department (ED). Few studies have reported the prevalence of dysnatremia in elderly patients without chronic kidney disease (CKD). We investigated the prevalence of dysnatremia in elderly patients without CKD in an emergency department in Japan.
30595402,Retinal photoreceptor apoptosis is associated with impaired serum ionized calcium homeostasis in diabetic retinopathy: An in-vivo analysis.,The aim of this work was to study the association of serum ionized calcium with retinal photoreceptor apoptosis on spectral domain optical coherence tomography (SD-OCT) in diabetic retinopathy (DR).
30595395,Relation of Clinical Presentation of Aortic Stenosis and Survival Following Transcatheter Aortic Valve Implantation.,"Although the natural history of aortic stenosis (AS) depends on the severity of symptoms, the prognostic significance of AS clinical progression in patients who underwent aortic valve replacement is less clear. Here, we studied the correlation between the severity of AS presenting symptoms and survival after transcatheter aortic valve implantation (TAVI). We evaluated long-term survival of a consecutive cohort of severe AS patients (n = 862, mean Society of Thoracic Surgeons score 4.16 ± 2.9) who underwent transfemoral TAVI from 2009 to 2016. Patients were classified as having severe symptoms (i.e., angina, syncope, or heart failure, n = 424) or mild symptoms (i.e., dizziness, fatigue, effort dyspnea, chest discomfort, n = 438). No differences in device success nor in-hospital complications were found between groups. During a median follow-up of 2.84 (1.9 to 4.5) years, survival at 1, 3, and 5 years in the entire cohort, was 89% ± 1.1%, 75% ± 1.6%, and 59% ± 2.1%, respectively. Severe symptoms were associated with higher mortality (hazard ratio 1.54, 95% confidence intervals 1.230 to 1.939, p <0.001). The 1-, 3-, and 5-year survival was 94% ± 1.9%, 81% ± 3.3%, and 71% ± 4.3% in patients with angina, 92% ± 3.3%, 75% ± 5.6%, and 56% ± 8.2% in patients with syncope and 77% ± 3%, 54% ± 3.7%, and 41% ± 4.1% in patients with heart failure, respectively, (p <0.001). Heart failure symptoms emerged as independent predictor of mortality (hazard ratio 1.66, 1.28 to 2.17, p <0.001), regardless of left ventricular ejection fraction. The severity of AS symptoms affects survival after TAVI and overt heart failure independently predicts early mortality. Early intervention after diagnosis of severe AS is crucial to reduce the unfavorable effects of clinical progression on survival after TAVI."
30595394,National Trends of Percutaneous Coronary Intervention in Patients ≥70 Years of Age.,National Trends of Percutaneous Coronary Intervention in Patients ≥70 Years of Age.
30595393,Usefulness of Malignancy as a Predictor of WorseIn-Hospital Outcomes in Patients With Takotsubo Cardiomyopathy.,"Takotsubo cardiomyopathy (TC) is a form of dilated cardiomyopathy often associated with physical or emotional stress. Association with cancer has been reported, however, in-hospital outcomes in TC patients with history of malignancy have not been fully characterized. We conducted a retrospective chart review of hospitalized patients with diagnosis of TC between January 2006 and January 2017. Patients were divided into 2 groups based on the previous history of malignancy. Presenting symptoms, cardiac imaging and short-term events including in-hospital complications and mortality, were compared. Of 318 patients with TC, 81 (25.4%) had a previous diagnosis of cancer. Mean age was 67.5 (SD 12.6), 151 (47.5%) were African American, 122 (38.4%) Caucasian, and 10 (3.1%) of other ethnicities. Patients with history of malignancy were older (70.0 [SD 10.6] vs 66.6 [SD 13.1] years, p = 0.03), had higher heart rate on presentation (93 [SD 19] vs 87 [SD 25] beats/minute, p = 0.03), higher prevalence of severely decreased cardiac function (left ventricular ejection fraction <25%) (29.6% vs 16%, p = 0.01), longer hospitalization (7 (4-13) vs 4 (3-8) days, p = 0.001) and experienced more in-hospital cardiac arrests (6 [7.4%] vs 5 [2.1%], p = 0.035) compared with patients without malignancy history. Higher percentage of longer hospitalization and left ventricular ejection fraction <25% in the cancer group persisted after controlling for sepsis, chemotherapy exposure, and metastatic disease. In conclusion, in a racially diverse hospitalized population of TC, prevalence of cancer history is high, and diagnosis of previous malignancy is associated with adverse in-hospital outcomes."
